TeamName,OwnerID,OpponentName,OpponentID,TeamScore,OpponentScore,Week,Year
Jody,271999,Andreas,1088807,87.76,122.64,5,2020
Dajuan,276726,Ignacio,12608269,155.74,120.84,5,2020
John,793573,romain,1360516,126.04,153.34,5,2020
Ken,827363,Rochas,2012141,138.94,137.20,5,2020
Chris,1191284,Michael,7611079,77.28,120.62,5,2020
Lorenzo,2017413,Tomas,5892024,112.36,124.90,5,2020
DB,2442650,LUCIAN,7582304,122.82,117.78,5,2020
Matt,3190107,Francesco,10808626,130.20,115.30,5,2020
Jody,271999,Lorenzo,2017413,83.60,120.20,4,2020
Dajuan,276726,Andreas,1088807,176.02,141.48,4,2020
John,793573,Chris,1191284,130.08,131.88,4,2020
Ken,827363,Ignacio,12608269,135.46,143.74,4,2020
romain,1360516,Rochas,2012141,125.40,163.54,4,2020
DB,2442650,Francesco,10808626,122.38,100.22,4,2020
Matt,3190107,LUCIAN,7582304,114.70,130.30,4,2020
Tomas,5892024,Michael,7611079,158.24,76.82,4,2020
Jody,271999,LUCIAN,7582304,96.94,110.40,3,2020
Dajuan,276726,Michael,7611079,79.78,128.84,3,2020
John,793573,Lorenzo,2017413,133.24,150.34,3,2020
Ken,827363,DB,2442650,150.20,159.92,3,2020
Andreas,1088807,Francesco,10808626,115.24,101.86,3,2020
Chris,1191284,Tomas,5892024,157.32,138.32,3,2020
romain,1360516,Matt,3190107,179.30,117.92,3,2020
Rochas,2012141,Ignacio,12608269,138.22,134.26,3,2020
Jody,271999,Dajuan,276726,134.66,91.76,2,2020
John,793573,Andreas,1088807,102.46,157.10,2,2020
Ken,827363,romain,1360516,113.98,139.38,2,2020
Chris,1191284,Lorenzo,2017413,197.82,102.66,2,2020
Rochas,2012141,DB,2442650,159.88,115.88,2,2020
Matt,3190107,Michael,7611079,138.90,183.50,2,2020
Tomas,5892024,LUCIAN,7582304,94.16,158.42,2,2020
Francesco,10808626,Ignacio,12608269,144.58,166.26,2,2020
Jody,271999,John,793573,121.12,141.70,1,2020
Dajuan,276726,Rochas,2012141,139.80,141.40,1,2020
Ken,827363,Lorenzo,2017413,116.84,98.20,1,2020
Andreas,1088807,LUCIAN,7582304,132.94,122.38,1,2020
Chris,1191284,Ignacio,12608269,148.60,105.42,1,2020
romain,1360516,Tomas,5892024,103.44,144.38,1,2020
DB,2442650,Matt,3190107,125.16,113.60,1,2020
Michael,7611079,Francesco,10808626,168.08,109.38,1,2020
Jody,271999,John,793573,125.26,113.62,16,2019
Dajuan,276726,Francesco,10808626,98.06,134.52,16,2019
Ken,827363,Ignacio,12608269,127.96,143.36,16,2019
Andreas,1088807,DB,2442650,124.90,125.52,16,2019
Chris,1191284,LUCIAN,7582304,143.86,117.64,16,2019
romain,1360516,Michael,7611079,130.34,158.10,16,2019
Rochas,2012141,Matt,3190107,96.16,93.38,16,2019
Lorenzo,2017413,Tomas,5892024,70.42,77.06,16,2019
Jody,271999,romain,1360516,100.14,143.04,15,2019
Dajuan,276726,Ignacio,12608269,152.84,135.46,15,2019
John,793573,Michael,7611079,148.06,188.82,15,2019
Ken,827363,Francesco,10808626,129.84,156.18,15,2019
Andreas,1088807,LUCIAN,7582304,124.18,166.88,15,2019
Chris,1191284,DB,2442650,145.48,142.70,15,2019
Rochas,2012141,Tomas,5892024,83.80,81.22,15,2019
Lorenzo,2017413,Matt,3190107,53.70,69.90,15,2019
Jody,271999,Ignacio,12608269,152.02,123.94,14,2019
Dajuan,276726,romain,1360516,95.70,131.46,14,2019
John,793573,Francesco,10808626,179.36,172.88,14,2019
Ken,827363,Michael,7611079,113.20,171.88,14,2019
Andreas,1088807,Tomas,5892024,120.02,106.84,14,2019
